18,11,107
77,284,318
289,163,419
8,86,25
39,57,203
54,148,223
6,258,19
20,5,46
70,329,199
83,214,224
44,77,131
7,6,68
129,161,287
75,230,282
15,299,36
213,95,409
5,65,31
57,434,343
77,222,278
12,13,51
353,284,431
1,398,0
145,67,348
48,132,137
69,408,255
78,306,289
21,165,85
17,404,97
9,255,15
24,67,65
14,61,61
18,141,100
202,428,391
8,186,30
63,97,212
187,37,410
3,140,8
90,89,316
28,55,131
117,19,321
131,118,327
10,9,79
16,8,66
72,436,298
10,40,41
20,218,104
50,106,145
101,334,217
12,291,134
40,391,121
8,247,40
61,192,185
12,276,43
102,175,280
69,432,313
9,262,18
18,374,105
43,211,129
0,43,2
82,44,292
1,438,1
39,78,267
38,331,115
124,184,361
20,424,100
118,346,218
11,396,131
70,215,225
103,162,336
12,437,24
151,203,392
8,200,30
3,264,6
48,63,190
32,422,167
281,49,414
16,84,23
10,172,43
1,309,4
293,90,436
5,42,12
60,26,203
80,54,220
16,66,100
133,301,330
62,116,181
74,304,257
12,280,41
65,17,234
46,338,269
6,209,15
279,259,404
8,385,16
31,387,93
14,178,56
52,54,313
10,124,94
17,79,40
52,406,301
36,294,90
42,182,200
375,252,438
299,36,442
320,203,420
18,425,47
21,263,75
8,138,31
32,335,111
1,255,2
22,256,71
109,262,307
61,222,240
44,115,144
136,438,349
5,272,21
37,257,171
73,29,262
25,298,54
92,20,257
44,425,198
17,110,186
13,74,164
3,168,7
12,151,54
66,64,354
9,258,20
37,309,90
104,417,361
16,425,81
44,390,194
68,134,200
15,14,164
303,236,425
6,3,14
42,123,170
65,143,266
23,353,79
246,73,424
6,1,19
271,150,400
3,81,10
13,286,104
213,323,333
32,276,145
52,125,170
200,34,423
1,171,1
32,348,114
119,245,423
8,4,30
15,30,185
10,8,105
151,126,352
39,390,102
82,22,318
125,303,307
81,174,202
355,419,438
400,421,441
302,129,410
4,256,7
63,143,228
101,401,275
28,57,132
56,205,192
84,434,323
16,173,46
16,250,52
25,399,122
0,86,0
79,120,307
38,156,108
14,285,154
251,284,420
1,41,2
73,49,198
32,307,80
12,89,44
5,4,23
124,338,245
5,79,36
35,395,116
22,117,71
13,347,47
40,108,272
28,264,86
32,259,85
15,231,114
127,283,339
9,43,15
22,334,71
114,145,341
77,370,264
24,171,66
59,229,292
123,20,348
12,153,45
81,369,232
24,72,146
228,200,384
8,195,23
14,295,67
54,189,174
43,388,106
20,432,51
105,391,235
6,259,16
122,289,414
11,124,71
155,170,431
2,171,6
33,238,118
314,143,436
7,226,19
100,105,229
22,7,61
10,47,45
26,236,155
0,151,1
97,137,199
17,303,59
273,280,423
12,278,35
119,272,286
79,412,206
27,252,92
76,147,208
8,443,23
42,64,153
48,409,146
53,26,179
14,299,57
186,325,335
7,306,48
69,181,175
249,242,435
258,400,438
2,400,4
194,306,351
18,49,33
6,185,18
20,60,86
154,198,415
215,296,351
17,49,39
246,203,428
5,441,19
40,303,124
12,258,59
13,11,150
20,411,106
20,80,114
8,115,23
64,374,197
258,29,407
12,7,39
62,272,188
59,241,142
62,395,172
48,78,293
54,65,238
49,348,176
61,119,272
5,178,15
53,376,364
44,123,112
21,417,85
16,76,48
24,421,113
2,0,12
137,197,362
46,236,91
90,218,219
18,19,77
303,243,440
209,140,358
18,231,59
133,66,284
9,294,69
32,328,228
219,171,424
3,196,6
81,266,189
30,392,228
23,6,66
39,273,148
37,173,120
206,241,430
0,442,0
54,330,200
181,129,353
10,346,41
26,57,159
77,147,176
75,352,229
36,102,228
7,6,69
288,162,409
0,64,1
10,381,31
109,405,296
38,361,208
13,305,107
73,111,253
4,213,9
108,320,291
20,377,54
71,179,153
9,276,22
32,77,174
177,138,381
76,23,283
62,129,132
5,180,9
262,127,417
6,91,16
75,320,203
39,39,93
26,375,84
6,186,19
112,423,430
1,0,2
10,208,39
98,387,343
192,350,313
12,191,45
20,118,131
39,308,117
245,275,409
8,258,22
91,324,193
76,181,303
389,211,443
