18,127,54
97,67,252
153,408,345
5,4,23
15,14,165
38,318,121
18,249,99
120,429,340
6,98,12
84,88,225
14,431,135
8,150,29
40,265,149
19,263,62
13,368,82
90,59,325
173,110,374
18,326,66
38,69,134
16,292,60
38,325,115
96,31,337
9,362,34
8,427,19
2,168,5
26,187,95
12,59,52
39,322,81
6,1,35
30,278,175
121,41,381
25,65,130
113,35,361
27,159,64
93,223,225
17,12,186
48,404,209
36,28,184
10,305,23
5,99,18
161,164,362
9,402,17
99,281,203
12,11,45
253,74,434
259,370,401
20,385,48
81,318,228
8,2,28
237,214,421
258,125,407
83,124,184
49,271,130
89,111,391
34,26,154
134,407,294
23,207,105
215,49,439
0,41,2
2,402,3
10,154,42
22,335,139
81,83,164
46,354,138
10,6,43
246,419,421
20,172,114
34,251,114
45,431,239
63,107,103
285,231,416
4,438,3
89,60,247
181,129,329
34,172,58
156,72,405
1,29,2
269,152,394
14,433,48
7,161,60
8,367,22
74,333,185
50,226,239
16,138,71
108,19,282
23,379,142
160,430,397
31,232,65
21,304,48
60,21,264
88,21,262
12,4,58
55,367,138
16,329,76
23,432,187
23,303,77
142,22,265
24,14,56
10,239,37
165,315,345
8,19,32
259,337,397
2,244,10
134,129,380
201,197,433
0,133,1
14,62,51
150,77,356
229,295,397
4,242,6
15,234,49
189,290,357
46,294,184
135,109,309
16,172,31
159,393,278
16,259,48
4,384,7
184,423,382
18,419,78
5,439,14
35,177,98
164,214,364
32,441,65
106,319,257
6,244,20
3,289,7
26,245,97
16,423,68
55,67,154
102,411,201
15,49,38
193,169,345
6,228,13
249,75,403
21,221,65
228,333,376
4,396,16
182,433,380
7,3,38
96,108,294
60,201,128
154,44,356
71,121,147
87,16,256
12,60,46
78,80,226
14,435,55
5,330,30
41,82,181
109,214,243
67,99,223
84,22,273
24,41,95
39,86,95
212,314,360
6,245,34
10,302,119
51,77,165
57,161,156
64,219,284
43,233,111
27,317,133
305,154,431
6,132,12
32,80,133
151,26,294
14,143,80
45,380,183
24,13,135
131,86,363
16,241,32
41,63,151
103,227,308
16,422,64
22,247,94
262,204,398
8,237,19
43,19,251
60,328,197
12,133,57
48,406,166
137,98,257
12,398,22
35,230,154
46,29,188
40,253,129
55,65,177
61,356,114
123,119,321
14,125,74
123,430,260
17,364,44
27,121,103
34,293,89
55,51,152
96,27,265
146,182,269
208,295,365
11,8,94
43,312,244
41,356,266
163,31,340
4,20,7
130,48,332
12,13,38
6,291,48
1,400,0
14,297,52
47,367,222
6,79,17
259,429,425
0,362,2
46,150,269
115,133,303
8,6,56
7,215,49
46,320,154
96,75,223
84,244,205
29,302,113
53,374,149
37,299,92
80,342,262
35,257,111
159,207,289
76,103,204
3,375,9
97,91,253
42,424,168
155,271,270
4,77,16
10,318,38
26,86,174
3,251,9
28,231,66
102,218,272
12,39,43
94,103,235
153,431,280
33,232,109
17,274,90
117,367,254
12,375,37
212,247,371
67,13,162
109,231,286
63,332,124
158,271,341
27,395,59
51,378,165
72,280,327
117,125,255
142,267,305
27,220,145
183,427,358
5,147,25
22,369,58
288,158,396
35,65,124
62,376,211
25,246,56
5,389,22
90,52,393
20,36,64
25,323,91
20,336,75
112,21,251
179,266,358
28,64,80
16,52,100
129,70,349
2,2,12
89,337,250
15,52,38
71,139,242
158,240,340
42,10,140
54,256,137
239,163,368
5,46,35
63,378,215
3,422,4
24,397,80
98,255,203
20,398,73
48,15,156
34,353,154
6,279,10
62,21,156
10,330,93
18,155,53
14,295,79
51,70,164
262,358,416
3,402,4
46,218,277
11,352,85
208,175,376
49,147,86
83,314,231
125,200,286
8,46,34
16,389,67
12,431,29
232,47,427
5,55,12
5,2,28
65,415,166
12,125,60
14,330,71
71,69,219
60,118,138
113,198,227
118,76,309
11,8,112
22,42,99
9,391,27
74,339,253
3,402,6
51,28,223
338,165,428
46,113,111
73,317,313
9,139,32
37,218,217
52,224,237
118,420,318
95,257,222
46,39,175
115,412,252
167,75,394
87,217,269
35,263,121
254,123,390
27,52,65
18,246,70
124,334,343
6,4,28
85,190,231
44,118,147
8,423,16
16,363,64
82,38,372
5,285,13
23,298,86
298,163,404
8,153,21
53,416,167
10,39,22
76,66,241
6,128,43
27,406,135
26,43,125
129,399,307
2,125,5
34,379,160
130,38,397
21,349,96
74,435,229
57,76,166
6,377,31
158,36,371
99,341,187
188,424,363
16,196,55
64,153,293
3,39,5
72,36,240
22,375,121
52,416,228
11,418,29
71,79,228
147,68,406
16,29,159
18,381,68
83,436,203
158,189,422
4,441,7
16,12,171
12,419,54
33,355,99
32,264,118
20,410,42
55,188,162
117,219,270
171,29,344
16,166,63
78,59,264
84,103,162
301,37,438
416,403,441
